scenario,patients_per_clinic_block,patients_per_arrival_group,clinic_length_minutes,num_med_techs,num_rooms_per_provider,num_physicians,vitals_time_mean,vitals_time_k,exam_time_mean,exam_time_k,post_exam_time_mean,post_exam_time_k,room_turnover_time_mean,room_turnover_time_k,num_reps,seed,output_path,log_level
1,32,2,240,2,1,2,6,5,10,1,2,2,2.5,7,50,77,./output,30
2,36,2,240,2,1,2,6,5,10,1,2,2,2.5,7,50,77,./output,30
3,40,2,240,2,1,2,6,5,10,1,2,2,2.5,7,50,77,./output,30
4,44,2,240,2,1,2,6,5,10,1,2,2,2.5,7,50,77,./output,30
5,48,2,240,2,1,2,6,5,10,1,2,2,2.5,7,50,77,./output,30
6,24,2,240,2,1,2,6,5,15,1,2,2,2.5,7,50,77,./output,30
7,28,2,240,2,1,2,6,5,15,1,2,2,2.5,7,50,77,./output,30
8,32,2,240,2,1,2,6,5,15,1,2,2,2.5,7,50,77,./output,30
9,36,2,240,2,1,2,6,5,15,1,2,2,2.5,7,50,77,./output,30
10,40,2,240,2,1,2,6,5,15,1,2,2,2.5,7,50,77,./output,30
11,16,2,240,2,1,2,6,5,20,1,2,2,2.5,7,50,77,./output,30
12,20,2,240,2,1,2,6,5,20,1,2,2,2.5,7,50,77,./output,30
13,24,2,240,2,1,2,6,5,20,1,2,2,2.5,7,50,77,./output,30
14,28,2,240,2,1,2,6,5,20,1,2,2,2.5,7,50,77,./output,30
15,32,2,240,2,1,2,6,5,20,1,2,2,2.5,7,50,77,./output,30
16,32,2,240,2,1,2,9,5,10,1,2,2,2.5,7,50,77,./output,30
17,36,2,240,2,1,2,9,5,10,1,2,2,2.5,7,50,77,./output,30
18,40,2,240,2,1,2,9,5,10,1,2,2,2.5,7,50,77,./output,30
19,44,2,240,2,1,2,9,5,10,1,2,2,2.5,7,50,77,./output,30
20,48,2,240,2,1,2,9,5,10,1,2,2,2.5,7,50,77,./output,30
21,24,2,240,2,1,2,9,5,15,1,2,2,2.5,7,50,77,./output,30
22,28,2,240,2,1,2,9,5,15,1,2,2,2.5,7,50,77,./output,30
23,32,2,240,2,1,2,9,5,15,1,2,2,2.5,7,50,77,./output,30
24,36,2,240,2,1,2,9,5,15,1,2,2,2.5,7,50,77,./output,30
25,40,2,240,2,1,2,9,5,15,1,2,2,2.5,7,50,77,./output,30
26,16,2,240,2,1,2,9,5,20,1,2,2,2.5,7,50,77,./output,30
27,20,2,240,2,1,2,9,5,20,1,2,2,2.5,7,50,77,./output,30
28,24,2,240,2,1,2,9,5,20,1,2,2,2.5,7,50,77,./output,30
29,28,2,240,2,1,2,9,5,20,1,2,2,2.5,7,50,77,./output,30
30,32,2,240,2,1,2,9,5,20,1,2,2,2.5,7,50,77,./output,30
31,32,2,240,2,1,2,12,5,10,1,2,2,2.5,7,50,77,./output,30
32,36,2,240,2,1,2,12,5,10,1,2,2,2.5,7,50,77,./output,30
33,40,2,240,2,1,2,12,5,10,1,2,2,2.5,7,50,77,./output,30
34,44,2,240,2,1,2,12,5,10,1,2,2,2.5,7,50,77,./output,30
35,48,2,240,2,1,2,12,5,10,1,2,2,2.5,7,50,77,./output,30
36,24,2,240,2,1,2,12,5,15,1,2,2,2.5,7,50,77,./output,30
37,28,2,240,2,1,2,12,5,15,1,2,2,2.5,7,50,77,./output,30
38,32,2,240,2,1,2,12,5,15,1,2,2,2.5,7,50,77,./output,30
39,36,2,240,2,1,2,12,5,15,1,2,2,2.5,7,50,77,./output,30
40,40,2,240,2,1,2,12,5,15,1,2,2,2.5,7,50,77,./output,30
41,16,2,240,2,1,2,12,5,20,1,2,2,2.5,7,50,77,./output,30
42,20,2,240,2,1,2,12,5,20,1,2,2,2.5,7,50,77,./output,30
43,24,2,240,2,1,2,12,5,20,1,2,2,2.5,7,50,77,./output,30
44,28,2,240,2,1,2,12,5,20,1,2,2,2.5,7,50,77,./output,30
45,32,2,240,2,1,2,12,5,20,1,2,2,2.5,7,50,77,./output,30
46,32,2,240,2,1,2,6,5,10,1,5,2,2.5,7,50,77,./output,30
47,36,2,240,2,1,2,6,5,10,1,5,2,2.5,7,50,77,./output,30
48,40,2,240,2,1,2,6,5,10,1,5,2,2.5,7,50,77,./output,30
49,44,2,240,2,1,2,6,5,10,1,5,2,2.5,7,50,77,./output,30
50,48,2,240,2,1,2,6,5,10,1,5,2,2.5,7,50,77,./output,30
51,24,2,240,2,1,2,6,5,15,1,5,2,2.5,7,50,77,./output,30
52,28,2,240,2,1,2,6,5,15,1,5,2,2.5,7,50,77,./output,30
53,32,2,240,2,1,2,6,5,15,1,5,2,2.5,7,50,77,./output,30
54,36,2,240,2,1,2,6,5,15,1,5,2,2.5,7,50,77,./output,30
55,40,2,240,2,1,2,6,5,15,1,5,2,2.5,7,50,77,./output,30
56,16,2,240,2,1,2,6,5,20,1,5,2,2.5,7,50,77,./output,30
57,20,2,240,2,1,2,6,5,20,1,5,2,2.5,7,50,77,./output,30
58,24,2,240,2,1,2,6,5,20,1,5,2,2.5,7,50,77,./output,30
59,28,2,240,2,1,2,6,5,20,1,5,2,2.5,7,50,77,./output,30
60,32,2,240,2,1,2,6,5,20,1,5,2,2.5,7,50,77,./output,30
61,32,2,240,2,1,2,9,5,10,1,5,2,2.5,7,50,77,./output,30
62,36,2,240,2,1,2,9,5,10,1,5,2,2.5,7,50,77,./output,30
63,40,2,240,2,1,2,9,5,10,1,5,2,2.5,7,50,77,./output,30
64,44,2,240,2,1,2,9,5,10,1,5,2,2.5,7,50,77,./output,30
65,48,2,240,2,1,2,9,5,10,1,5,2,2.5,7,50,77,./output,30
66,24,2,240,2,1,2,9,5,15,1,5,2,2.5,7,50,77,./output,30
67,28,2,240,2,1,2,9,5,15,1,5,2,2.5,7,50,77,./output,30
68,32,2,240,2,1,2,9,5,15,1,5,2,2.5,7,50,77,./output,30
69,36,2,240,2,1,2,9,5,15,1,5,2,2.5,7,50,77,./output,30
70,40,2,240,2,1,2,9,5,15,1,5,2,2.5,7,50,77,./output,30
71,16,2,240,2,1,2,9,5,20,1,5,2,2.5,7,50,77,./output,30
72,20,2,240,2,1,2,9,5,20,1,5,2,2.5,7,50,77,./output,30
73,24,2,240,2,1,2,9,5,20,1,5,2,2.5,7,50,77,./output,30
74,28,2,240,2,1,2,9,5,20,1,5,2,2.5,7,50,77,./output,30
75,32,2,240,2,1,2,9,5,20,1,5,2,2.5,7,50,77,./output,30
76,32,2,240,2,1,2,12,5,10,1,5,2,2.5,7,50,77,./output,30
77,36,2,240,2,1,2,12,5,10,1,5,2,2.5,7,50,77,./output,30
78,40,2,240,2,1,2,12,5,10,1,5,2,2.5,7,50,77,./output,30
79,44,2,240,2,1,2,12,5,10,1,5,2,2.5,7,50,77,./output,30
80,48,2,240,2,1,2,12,5,10,1,5,2,2.5,7,50,77,./output,30
81,24,2,240,2,1,2,12,5,15,1,5,2,2.5,7,50,77,./output,30
82,28,2,240,2,1,2,12,5,15,1,5,2,2.5,7,50,77,./output,30
83,32,2,240,2,1,2,12,5,15,1,5,2,2.5,7,50,77,./output,30
84,36,2,240,2,1,2,12,5,15,1,5,2,2.5,7,50,77,./output,30
85,40,2,240,2,1,2,12,5,15,1,5,2,2.5,7,50,77,./output,30
86,16,2,240,2,1,2,12,5,20,1,5,2,2.5,7,50,77,./output,30
87,20,2,240,2,1,2,12,5,20,1,5,2,2.5,7,50,77,./output,30
88,24,2,240,2,1,2,12,5,20,1,5,2,2.5,7,50,77,./output,30
89,28,2,240,2,1,2,12,5,20,1,5,2,2.5,7,50,77,./output,30
90,32,2,240,2,1,2,12,5,20,1,5,2,2.5,7,50,77,./output,30
91,32,2,240,2,1,2,6,5,10,1,8,2,2.5,7,50,77,./output,30
92,36,2,240,2,1,2,6,5,10,1,8,2,2.5,7,50,77,./output,30
93,40,2,240,2,1,2,6,5,10,1,8,2,2.5,7,50,77,./output,30
94,44,2,240,2,1,2,6,5,10,1,8,2,2.5,7,50,77,./output,30
95,48,2,240,2,1,2,6,5,10,1,8,2,2.5,7,50,77,./output,30
96,24,2,240,2,1,2,6,5,15,1,8,2,2.5,7,50,77,./output,30
97,28,2,240,2,1,2,6,5,15,1,8,2,2.5,7,50,77,./output,30
98,32,2,240,2,1,2,6,5,15,1,8,2,2.5,7,50,77,./output,30
99,36,2,240,2,1,2,6,5,15,1,8,2,2.5,7,50,77,./output,30
100,40,2,240,2,1,2,6,5,15,1,8,2,2.5,7,50,77,./output,30
101,16,2,240,2,1,2,6,5,20,1,8,2,2.5,7,50,77,./output,30
102,20,2,240,2,1,2,6,5,20,1,8,2,2.5,7,50,77,./output,30
103,24,2,240,2,1,2,6,5,20,1,8,2,2.5,7,50,77,./output,30
104,28,2,240,2,1,2,6,5,20,1,8,2,2.5,7,50,77,./output,30
